Step,Scaffold,SMILES,bioactivity,raw_bioactivity,total_score,ID
95.0,O=C(NCC1CCCN1)c1ccccc1,CCN1CCCC1CNC(=O)c1c(O)cc(OC)cc1OC,1.0,1.0,1.0,fine-tune predictive component_0
55.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,CN(C)c1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component_1
76.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(Cl)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_2
0.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,Cc1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component_3
89.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,Cc1ccc2c(c1)C(c1ccc(F)cc1)CC2N1CCN(CCO)CC1,1.0,1.0,1.0,fine-tune predictive component_4
96.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(C(F)(F)F)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_5
96.0,O=S(=O)(c1ccc2c(c1)C(N1CCNCC1)CC2c1ccccc1)C1CC1,O=S(=O)(c1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1)C1CC1,1.0,1.0,1.0,fine-tune predictive component_6
83.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3cc(F)ccc32)CC1,1.0,1.0,1.0,fine-tune predictive component_7
83.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(O)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_8
83.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3c(Cl)cccc32)CC1,1.0,1.0,1.0,fine-tune predictive component_9
94.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,CS(=O)(=O)c1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component_10
64.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3cc(Cl)ccc32)CC1,1.0,1.0,1.0,fine-tune predictive component_11
77.0,c1ccc(C2CC(N3CCCNCC3)c3ccccc32)cc1,OCCN1CCCN(C2CC(c3ccc(F)cc3)c3c(Cl)cccc32)CC1,1.0,1.0,1.0,fine-tune predictive component_12
98.0,c1ccc(Oc2ccc3c(c2)C(N2CCNCC2)CC3c2ccccc2)cc1,OCCN1CCN(C2CC(c3ccc(F)cc3)c3ccc(Oc4ccccc4)cc32)CC1,1.0,1.0,1.0,fine-tune predictive component_13
94.0,O=C(c1ccc2c(c1)C(N1CCNCC1)CC2c1ccccc1)N1CCNCC1,CN1CCN(C(=O)c2ccc3c(c2)C(N2CCN(CCO)CC2)CC3c2ccc(F)cc2)CC1,1.0,1.0,1.0,fine-tune predictive component_14
99.0,c1ccc(C2CC(N3CCNCC3)c3ccccc32)cc1,CSc1ccc2c(c1)C(N1CCN(CCO)CC1)CC2c1ccc(F)cc1,1.0,1.0,1.0,fine-tune predictive component_15
78.0,O=C(C1CCC1)N1CCCN(C2CC(c3ccccc3)c3ccccc32)CC1,CN(C)c1ccc2c(c1)C(N1CCCN(C(=O)C3CCC3)CC1)CC2c1ccc(F)cc1,0.8999999761581421,0.8999999761581421,0.8999999761581421,fine-tune predictive component_16
